ZIP,Place,State,Longitude,Latitude,Longitude_Projected,Latitude_Projected
81228,Granite,CO,-106.2566,39.0307,341.57514741602546,235.8476167527109
81230,Gunnison,CO,-106.931,38.5511,330.90743446878844,243.75353978816486
81231,Gunnison,CO,-106.9253,38.5458,330.9778690461514,243.8622831047926
81232,Hillside,CO,-105.6117,38.2653,349.3336269112957,251.1737239789927
81233,Howard,CO,-105.7698,38.41,347.32989841978014,248.22570206328783
81235,Lake City,CO,-107.302,37.9868,324.3156566109947,253.69385720592027
81236,Nathrop,CO,-106.1166,38.7103,342.9333336025758,242.0700630067157
81237,Ohio City,CO,-106.6028,38.5908,335.7072904937987,243.5461577089677
81239,Parlin,CO,-106.6352,38.5371,335.12876995578284,244.50024649935688
81240,Penrose,CO,-105.0113,38.4336,358.3102440226363,248.86690948258592
81241,Pitkin,CO,-106.5146,38.6179,337.03084228214107,243.17960213827757
81242,Poncha Springs,CO,-106.0772,38.5128,343.10461053006384,245.83374121307565
81243,Powderhorn,CO,-107.1084,38.2822,327.76750487913864,248.49299673857604
81244,Rockvale,CO,-105.1639,38.3697,355.99363857638707,249.8552794771157
